,Akinyemi Agbede,Delaine Eastin,Albert Caesar Mezzetti,Thomas Jefferson Cares,Klement Tinaj,J. Bribiesca,John Chiang,Gavin Newsom,Michael Shellenberger,Antonio Villaraigosa,Amanda Renteria,Robert Davidson Griffis,Yvonne Girard,"Robert C. Newman, II",John H. Cox,"Peter Y
 Liu",Travis Allen,Christopher N. Carlson,"Josh
 Jones",Nickolas Wildstar,Zoltan Istvan,"Gloria Estela 
La Riva",Desmond Silveira,Jeffrey Edward Taylor,Johnny Wattenburg,Shubham Goel,"Hakan ""Hawk"" Mikado","K. 
Pearce",Veronika Fimbres,Peter Crawford Valentino,Arman Soltani,"Armando M.
Arreola"
,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,REP,REP,REP,REP,REP,GRN,GRN,LIB,LIB,PF,NPP,NPP,NPP,NPP,NPP,REP (W/I),GRN (W/I),NPP (W/I),NPP (W/I),NPP (W/I)
Alameda,374,"23,442",771,401,202,538,"31,990","178,155","1,021","33,219","4,461",185,513,"1,671","35,242",835,"14,656",448,"1,825",467,684,"1,176",174,185,146,305,173,0,10,2,0,0
  Percent,0.1%,7.0%,0.2%,0.1%,0.1%,0.2%,9.6%,53.5%,0.3%,10.0%,1.3%,0.1%,0.2%,0.5%,10.6%,0.3%,4.4%,0.1%,0.5%,0.1%,0.2%,0.4%,0.1%,0.1%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,0,19,0,0,0,1,42,155,7,27,10,0,1,0,97,0,35,1,1,0,3,1,0,0,3,0,0,0,0,0,0,0
  Percent,0.0%,4.7%,0.0%,0.0%,0.0%,0.2%,10.4%,38.5%,1.7%,6.7%,2.5%,0.0%,0.2%,0.0%,24.1%,0.0%,8.7%,0.2%,0.2%,0.0%,0.7%,0.2%,0.0%,0.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amador,7,366,16,13,4,15,"1,039","2,786",53,755,133,20,102,64,"5,385",24,"1,946",15,20,29,41,30,8,8,19,4,12,0,0,0,0,0
  Percent,0.1%,2.8%,0.1%,0.1%,0.0%,0.1%,8.0%,21.6%,0.4%,5.8%,1.0%,0.2%,0.8%,0.5%,41.7%,0.2%,15.1%,0.1%,0.2%,0.2%,0.3%,0.2%,0.1%,0.1%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,79,"3,929",83,49,26,199,"3,349","14,076",425,"2,999","1,053",136,242,312,"18,898",260,"7,967",77,129,119,145,254,32,37,76,17,43,0,0,0,0,0
  Percent,0.1%,7.1%,0.2%,0.1%,0.0%,0.4%,6.1%,25.6%,0.8%,5.5%,1.9%,0.2%,0.4%,0.6%,34.4%,0.5%,14.5%,0.1%,0.2%,0.2%,0.3%,0.5%,0.1%,0.1%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calaveras,17,490,11,18,3,20,"1,042","3,663",69,837,158,29,152,78,"5,996",48,"2,841",22,32,38,42,36,6,8,19,5,8,0,0,0,0,0
  Percent,0.1%,3.1%,0.1%,0.1%,0.0%,0.1%,6.6%,23.3%,0.4%,5.3%,1.0%,0.2%,1.0%,0.5%,38.2%,0.3%,18.1%,0.1%,0.2%,0.2%,0.3%,0.2%,0.0%,0.1%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colusa,5,68,3,6,1,10,130,465,12,572,34,14,12,21,"1,544",34,580,2,6,7,10,14,1,0,8,1,5,0,0,0,0,0
  Percent,0.1%,1.9%,0.1%,0.2%,0.0%,0.3%,3.6%,13.0%,0.3%,16.0%,1.0%,0.4%,0.3%,0.6%,43.3%,1.0%,16.3%,0.1%,0.2%,0.2%,0.3%,0.4%,0.0%,0.0%,0.2%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,196,"8,016",220,251,66,319,"16,211","117,702","1,001","20,585","2,754",138,465,873,"46,604",272,"17,573",297,505,345,563,536,131,78,127,137,124,0,3,0,1,0
  Percent,0.1%,3.4%,0.1%,0.1%,0.0%,0.1%,6.9%,49.9%,0.4%,8.7%,1.2%,0.1%,0.2%,0.4%,19.7%,0.1%,7.4%,0.1%,0.2%,0.1%,0.2%,0.2%,0.1%,0.0%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Norte,14,208,4,6,3,72,414,"1,241",37,188,114,15,39,38,"1,456",53,"1,320",10,24,12,12,36,10,8,10,5,7,0,0,0,0,0
  Percent,0.3%,3.9%,0.1%,0.1%,0.1%,1.3%,7.7%,23.2%,0.7%,3.5%,2.1%,0.3%,0.7%,0.7%,27.2%,1.0%,24.6%,0.2%,0.4%,0.2%,0.2%,0.7%,0.2%,0.1%,0.2%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado,41,"1,501",39,23,19,79,"4,612","13,885",242,"3,260",733,76,346,172,"23,025",79,"7,878",60,92,105,145,75,24,9,38,20,27,0,0,0,0,0
  Percent,0.1%,2.7%,0.1%,0.0%,0.0%,0.1%,8.1%,24.5%,0.4%,5.8%,1.3%,0.1%,0.6%,0.3%,40.7%,0.1%,13.9%,0.1%,0.2%,0.2%,0.3%,0.1%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,160,"2,380",265,116,347,311,"10,284","22,599",414,"27,157","2,432",248,420,820,"45,272",560,"19,249",93,220,148,186,272,81,74,98,125,152,0,1,0,0,0
  Percent,0.1%,1.8%,0.2%,0.1%,0.3%,0.2%,7.6%,16.8%,0.3%,20.2%,1.8%,0.2%,0.3%,0.6%,33.7%,0.4%,14.3%,0.1%,0.2%,0.1%,0.1%,0.2%,0.1%,0.1%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn,1,142,6,9,0,15,162,616,27,433,65,15,29,40,"2,370",64,910,6,7,16,15,35,0,10,6,0,8,0,0,0,0,0
  Percent,0.0%,2.8%,0.1%,0.2%,0.0%,0.3%,3.2%,12.3%,0.5%,8.6%,1.3%,0.3%,0.6%,0.8%,47.3%,1.3%,18.2%,0.1%,0.1%,0.3%,0.3%,0.7%,0.0%,0.2%,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,68,"2,807",38,37,40,382,"1,977","11,706",352,"1,604",688,111,181,170,"6,910",192,"2,904",118,282,108,105,209,27,14,35,11,24,0,0,1,1,0
  Percent,0.2%,9.0%,0.1%,0.1%,0.1%,1.2%,6.4%,37.6%,1.1%,5.2%,2.2%,0.4%,0.6%,0.5%,22.2%,0.6%,9.3%,0.4%,0.9%,0.3%,0.3%,0.7%,0.1%,0.0%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial,29,292,42,130,15,535,"1,487","2,278",129,"5,835",614,136,137,150,"4,284",171,"1,884",31,52,28,28,333,37,39,26,10,20,0,0,0,1,0
  Percent,0.2%,1.6%,0.2%,0.7%,0.1%,2.9%,7.9%,12.1%,0.7%,31.1%,3.3%,0.7%,0.7%,0.8%,22.8%,0.9%,10.0%,0.2%,0.3%,0.1%,0.1%,1.8%,0.2%,0.2%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo,5,163,9,3,3,17,497,"1,296",44,491,100,10,43,164,"1,759",83,912,8,21,24,20,38,4,1,11,2,5,0,0,0,0,0
  Percent,0.1%,2.8%,0.2%,0.1%,0.1%,0.3%,8.7%,22.6%,0.8%,8.6%,1.7%,0.2%,0.8%,2.9%,30.7%,1.4%,15.9%,0.1%,0.4%,0.4%,0.3%,0.7%,0.1%,0.0%,0.2%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kern,185,"2,073",122,133,73,251,"6,151","13,897",566,"15,974","2,128",608,531,797,"46,495",341,"22,788",93,142,221,207,223,86,95,249,80,82,6,0,0,0,0
  Percent,0.2%,1.8%,0.1%,0.1%,0.1%,0.2%,5.4%,12.1%,0.5%,13.9%,1.9%,0.5%,0.5%,0.7%,40.6%,0.3%,19.9%,0.1%,0.1%,0.2%,0.2%,0.2%,0.1%,0.1%,0.2%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings,10,223,2,25,3,28,"1,069","1,537",50,"2,836",263,55,189,52,"5,862",11,"3,921",6,10,28,32,25,28,4,15,6,9,0,0,0,0,0
  Percent,0.1%,1.4%,0.0%,0.2%,0.0%,0.2%,6.6%,9.4%,0.3%,17.4%,1.6%,0.3%,1.2%,0.3%,36.0%,0.1%,24.1%,0.0%,0.1%,0.2%,0.2%,0.2%,0.2%,0.0%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,11,474,42,13,10,84,714,"4,840",53,877,151,23,66,121,"3,737",116,"1,659",20,84,39,22,40,6,12,25,8,21,0,0,0,0,0
  Percent,0.1%,3.6%,0.3%,0.1%,0.1%,0.6%,5.4%,36.5%,0.4%,6.6%,1.1%,0.2%,0.5%,0.9%,28.2%,0.9%,12.5%,0.2%,0.6%,0.3%,0.2%,0.3%,0.0%,0.1%,0.2%,0.1%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassen,6,139,11,5,1,36,411,818,33,128,68,12,44,60,"2,601",51,"1,673",9,13,13,8,19,3,7,59,1,8,0,0,0,0,0
  Percent,0.1%,2.2%,0.2%,0.1%,0.0%,0.6%,6.6%,13.1%,0.5%,2.1%,1.1%,0.2%,0.7%,1.0%,41.7%,0.8%,26.8%,0.1%,0.2%,0.2%,0.1%,0.3%,0.0%,0.1%,0.9%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,"2,453","37,440","2,744","1,742","1,432","2,258","188,562","469,266","5,211","313,266","13,063","2,082","3,414","7,425","278,879","7,328","82,639","1,653","2,508","1,851","2,061","4,077",835,808,776,791,"1,022",0,5,6,3,0
  Percent,0.2%,2.6%,0.2%,0.1%,0.1%,0.2%,13.1%,32.7%,0.4%,21.8%,0.9%,0.1%,0.2%,0.5%,19.4%,0.5%,5.8%,0.1%,0.2%,0.1%,0.1%,0.3%,0.1%,0.1%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madera,20,413,30,13,9,21,"1,234","3,032",92,"3,738",501,49,178,101,"9,541",33,"4,491",10,26,46,35,41,15,9,33,15,21,0,0,0,0,0
  Percent,0.1%,1.7%,0.1%,0.1%,0.0%,0.1%,5.2%,12.8%,0.4%,15.7%,2.1%,0.2%,0.7%,0.4%,40.2%,0.1%,18.9%,0.0%,0.1%,0.2%,0.1%,0.2%,0.1%,0.0%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin,85,"2,754",55,43,16,66,"4,562","54,820",277,"7,030",694,33,73,184,"10,644",58,"3,269",97,170,108,199,129,30,12,50,11,23,0,0,0,0,0
  Percent,0.1%,3.2%,0.1%,0.1%,0.0%,0.1%,5.3%,64.1%,0.3%,8.2%,0.8%,0.0%,0.1%,0.2%,12.5%,0.1%,3.8%,0.1%,0.2%,0.1%,0.2%,0.2%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariposa,7,153,3,6,5,6,381,"1,162",35,510,110,15,56,36,"2,070",8,"1,431",3,11,11,14,19,5,3,8,4,5,0,0,0,0,0
  Percent,0.1%,2.5%,0.0%,0.1%,0.1%,0.1%,6.3%,19.1%,0.6%,8.4%,1.8%,0.2%,0.9%,0.6%,34.1%,0.1%,23.5%,0.0%,0.2%,0.2%,0.2%,0.3%,0.1%,0.0%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,33,"1,756",35,22,16,105,"1,442","9,830",125,"1,802",365,38,96,92,"3,969",164,"1,845",61,137,67,62,152,17,5,44,4,18,0,0,0,1,0
  Percent,0.1%,7.9%,0.2%,0.1%,0.1%,0.5%,6.5%,44.1%,0.6%,8.1%,1.6%,0.2%,0.4%,0.4%,17.8%,0.7%,8.3%,0.3%,0.6%,0.3%,0.3%,0.7%,0.1%,0.0%,0.2%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merced,26,"1,127",85,40,49,72,"2,325","5,825",80,"5,727",613,41,111,515,"9,517",119,"5,112",18,99,63,53,157,65,70,19,39,55,0,0,0,0,0
  Percent,0.1%,3.5%,0.3%,0.1%,0.2%,0.2%,7.3%,18.2%,0.2%,17.9%,1.9%,0.1%,0.3%,1.6%,29.7%,0.4%,16.0%,0.1%,0.3%,0.2%,0.2%,0.5%,0.2%,0.2%,0.1%,0.1%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modoc,2,102,11,3,0,10,86,326,18,83,69,6,21,33,"1,422",40,514,6,19,10,2,11,5,1,48,1,1,0,0,0,0,0
  Percent,0.1%,3.6%,0.4%,0.1%,0.0%,0.4%,3.0%,11.4%,0.6%,2.9%,2.4%,0.2%,0.7%,1.2%,49.9%,1.4%,18.0%,0.2%,0.7%,0.4%,0.1%,0.4%,0.2%,0.0%,1.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mono,8,122,3,3,4,7,165,"1,047",42,404,81,15,56,19,865,2,399,9,11,12,16,13,1,0,2,2,6,0,0,0,0,0
  Percent,0.2%,3.7%,0.1%,0.1%,0.1%,0.2%,5.0%,31.6%,1.3%,12.2%,2.4%,0.5%,1.7%,0.6%,26.1%,0.1%,12.0%,0.3%,0.3%,0.4%,0.5%,0.4%,0.0%,0.0%,0.1%,0.1%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,80,"2,005",70,160,17,310,"4,282","24,591",294,"11,192","1,052",189,264,255,"12,899",524,"6,172",90,146,111,145,428,47,119,48,18,30,0,0,0,1,0
  Percent,0.1%,3.1%,0.1%,0.2%,0.0%,0.5%,6.5%,37.5%,0.4%,17.1%,1.6%,0.3%,0.4%,0.4%,19.7%,0.8%,9.4%,0.1%,0.2%,0.2%,0.2%,0.7%,0.1%,0.2%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napa,26,"1,307",39,90,10,57,"2,039","16,869",166,"3,681",522,71,183,178,"7,083",308,"3,561",27,95,94,127,91,23,20,36,8,21,0,6,0,0,0
  Percent,0.1%,3.6%,0.1%,0.2%,0.0%,0.2%,5.6%,45.9%,0.5%,10.0%,1.4%,0.2%,0.5%,0.5%,19.3%,0.8%,9.7%,0.1%,0.3%,0.3%,0.3%,0.2%,0.1%,0.1%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,31,"1,601",22,18,12,138,"2,647","12,957",207,"2,252",585,40,120,95,"9,787",130,"6,598",38,328,103,121,115,12,3,21,7,25,0,0,0,1,0
  Percent,0.1%,4.2%,0.1%,0.0%,0.0%,0.4%,7.0%,34.1%,0.5%,5.9%,1.5%,0.1%,0.3%,0.2%,25.7%,0.3%,17.4%,0.1%,0.9%,0.3%,0.3%,0.3%,0.0%,0.0%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
